نص السؤال 	رقم السورة 	رقم الاية	رقم آية 1	رقم آية 2	رقم آية 3
من كمال علم الله تعالى أنه يعلم ما كان وما يكون وما سيكون وما لم يكن لو كان كيف كان يكون . هناك آية يؤدي سوء فهمها إلى ظن أن الله تعالى يستجد له من تغير أحوال الناس علم لم يكن يعلمه من قبل ، اذكر الكلمات الأربعة التي قد تفهم هكذا .	8	{الْآنَ خَفَّفَ اللَّهُ عَنكُمْ #وَعَلِمَ أَنَّ فِيكُمْ# ضَعْفًا ۚ فَإِن يَكُن مِّنكُم مِّائَةٌ صَابِرَةٌ يَغْلِبُوا مِائَتَيْنِ ۚ وَإِن يَكُن مِّنكُمْ أَلْفٌ يَغْلِبُوا أَلْفَيْنِ بِإِذْنِ اللَّهِ ۗ وَاللَّهُ مَعَ الصَّابِرِينَ} [الأنفال : 66 [ (يمكن أن نفهم معنى ﴿وَعَلِمَ﴾ أو ﴿لنعلم﴾ بمعنى أن الله أبدى وأظهر ما كان يكنه من علمه الخاص الذي لم يطلع عليه رسول فاستبدل بالأمر أمرا. والذي يؤيد هذا الفهم وليس كما يتوهمه البعض من أن الله لم يكن يعلم ثم يحصل له العلم بعد ذلك، وإنما يراد به التمييز والإظهار والذي يؤيد إرادة ذلك ويمكن فهم هذه الآية بفهم الآيتين القادمتين. قال تعالى: ﴿وَمِنَ النَّـاسِ مَن يَقُولُ آمَنَّـا بِاللَّهِ فَإِذَا أُوذِيَ فِي اللَّهِ جَعَلَ فِتْنَةَ النَّـاسِ كَعَذَابِ اللَّهِ  وَلَئِن  جَاءَ  نَصْرٌ مِّن رَّبِّـكَ لَيَقُولُنَّ إِنَّا كُنَّـا مَعَكُمْ أَوَلَيْسَ اللَّهُ بِأَعْلَـمَ بِمَـا فِي صُدُورِ الْعَالَمِينَ﴾ [العنكبوت:9] فإن الآية بعد أن صرحت أن الله تعالى أعلم بما في صدور العالمين قالت: ﴿وَلَيَعْلَمَنَّ اللَّهُ الَّذِينَ آمَنُوا وَلَيَعْلَمَنَّ الْمُنَافِقِينَ﴾ [العنكبوت:10] مما يكشف كشفا قطعيا عن أن المراد من قوله ﴿وَلَيَعْلَمَنَّ اللَّهُ﴾ ليس هو العلم بعد الجهل وإلا فكيف يكون أعلم بما في صدور العالمين ثم يقول في ذات الوقت أنه لا يعلم بالمؤمنين والمنافقين وأنه يبتليهم حتى يحصل له العلم. وكذلك يمكن التأييد بقوله تعالى: ﴿وَلِيَبْتَلِيَ اللَّهُ مَا فِي صُدُورِكُـمْ وَلِيُمَحِّصَ مَا فِي قُلُوبِكُمْ وَاللّهُ عَلِيمٌ بِذَاتِ الصُّدُورِ﴾ [آل عمران:154] فقد أفادت الآية أنه يبتلي ما في صدورهم وهو من مكنون الغيب ويمحص مافي قلوبهم وهو من مكنون الغيب، ثم يقول أنه ﴿عَلِيمٌ  بِذَاتِ  الصُّدُورِ﴾ فإذا كان يعلم ما في صدورهم فلماذا الابتلاء والتمحيص لو لم يكن الغرض منه التمييز والإظهار، وليس تحصيل العلم لأنه صرح في ذيل الآية أنه ﴿عَلِيمٌ بِذَاتِ الصُّدُورِ﴾). [مستفاد من موقع الرد على الإلحاد]. 	66		
 أعظم النعيم في الجنة هو النعيم الروحي بتحصيل مرضاة الله تعالى . اذكر أربع كلمات تدل على هذا المعنى .	9	{وَعَدَ اللَّهُ الْمُؤْمِنِينَ وَالْمُؤْمِنَاتِ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا وَمَسَاكِنَ طَيِّبَةً فِي جَنَّاتِ عَدْنٍ ۚ #وَرِضْوَانٌ مِّنَ اللَّهِ أَكْبَرُ# ۚ ذَٰلِكَ هُوَ الْفَوْزُ الْعَظِيمُ} [التوبة:7 [ 	7		
نفرح بهلاك المجرمين الذين لطالما حاربوا الدين لكن يحزننا أن يكون هلاكهم على يدي من ليس خيرا منهم فالمسلم لا ينتظر غيره من البشر ليشفي غليله . اذكرآية فيها هذا المعنى .	9	{قُلْ هَلْ تَرَبَّصُونَ بِنَا إِلَّا إِحْدَى #الْحُسْنَيَيْنِ ۖ وَنَحْنُ نَتَرَبَّصُ بِكُمْ أَن يُصِيبَكُمُ اللَّهُ بِعَذَابٍ مِّنْ عِندِهِ أَوْ بِأَيْدِينَا ۖ# فَتَرَبَّصُوا إِنَّا مَعَكُم مُّتَرَبِّصُونَ} [التوبة : 52 [	52		
 قيل : إذا أردت أن تعرف عند الله مقامك فانظر فيما أقامك . وقال ابن القيم : من أراد من العمال أن يعرف قدره عند السلطان فلينظر ماذا يوليه من العمل وبأي شيء يشـغله ، اذكر آية تبين أن من هان على الله فإن الله تعالى لا يوفقه للطاعات العظيمة 	9	{وَلَوْ أَرَادُوا الْخُرُوجَ لَأَعَدُّوا لَهُ عُدَّةً وَلَٰكِن كَرِهَ اللَّهُ انبِعَاثَهُمْ فَثَبَّطَهُمْ وَقِيلَ اقْعُدُوا مَعَ الْقَاعِدِينَ} [التوبة : 46]	46		
اذكر آية ترد بها على من يجعل مقياس المفاضلة بين الناس على أسـاس " الإنسانية " ويهون من شأن التوحيد في ذلك.	9	{ أَجَعَلْتُمْ سِقَايَةَ الْحَاجِّ وَعِمَارَةَ الْمَسْجِدِ الْحَرَامِ كَمَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَجَاهَدَ فِي سَبِيلِ اللَّهِ ۚ لَا يَسْتَوُونَ عِندَ اللَّهِ ۗ وَاللَّهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ} [التوبة : 19] قال السعدي في تفسيره: (لما اختلف بعض المسلمين، أو بعض المسلمين وبعض المشركين، في تفضيل عمارة المسجد الحرام، بالبناء والصلاة والعبادة فيه وسقاية الحاج، على الإيمان باللّه والجهاد في سبيله، أخبر اللّه تعالى بالتفاوت بينهما، فقال‏:‏ ﴿أَجَعَلتُم سِقايَةَ الحاجِّ وَعِمارَةَ المَسجِدِ الحَرامِ كَمَن آمَنَ بِاللَّهِ وَاليَومِ الآخِرِ وَجـاهَدَ في سَبيلِ اللَّهِ لا يَستَوونَ عِندَ اللَّهِ﴾.  فالجهاد والإيمان باللّه أفضل من سقاية الحاج وعمارة المسجد الحرام بدرجات كثيرة، لأن الإيمان أصل الدين، وبه تقبل الأعمال، وتزكو الخصال‏). فكان هذا ردٌ من الله تعالى على من يفاضل بين عمارة المسجد الحرام والإيمان بالله، فكيف بمن يفاضل بين الإيمان بالله وأعمال دون ذلك بكثير؟!	19		
عندما يقاتل المؤمن فإنما يقاتل لنصـر دين الله ودفع أعدائه وإعزاز الإسـلام ، وليس لتوسعة ملك أو زيادة سلطان أو لطلب مغنم ومال ، فعلى هذا الأساس تبنى قرارات المؤمن في الحرب أو السلم وما يترتب على أي منهما . اذكر آية تشير إلى هذا المعنى .	8	{مَا كَانَ لِنَبِيٍّ أَن يَكُونَ لَهُ أَسْرَىٰ حَتَّىٰ يُثْخِنَ فِي الْأَرْضِ ۚ تُرِيدُونَ عَرَضَ الدُّنْيَا وَاللَّهُ يُرِيدُ الْآخِرَةَ ۗ وَاللَّهُ عَزِيزٌ حَكِيمٌ} [الأنفال : 67] قال ابن عاشور: والمعنى أنّ النبي إذا قاتل فقتاله متمحّض لغاية واحدة: هي نصر الدين ودفع عدائه، وليس قتاله للملك والسلطان.	67		
إذا عجز المؤمن عن بلوغ ذروة خير ما، فليجتهد في تحصيل ما يمكن تحصيله منه، وإن لم يقدر على أداء واجب ما، فلعله يقدر على شيء منه أو مساعدة من يؤدونه. اذكر آية فيها مثال على هذا المعنى.	9	﴿لَّيْسَ عَلَى الضُّعَفَاءِ وَلَا عَلَى الْمَرْضَىٰ وَلَا عَلَى الَّذِينَ لَا يَجِدُونَ مَا يُنفِقُونَ حَرَجٌ #إِذَا نَصَحُوا لِلَّهِ وَرَسُولِهِ ۚ# مَا عَلَى الْمُحْسِنِينَ مِن سَبِيلٍ ۚ وَاللَّهُ غَفُورٌ رَّحِيمٌ﴾ [التوبة:91].	91		
اذكر آية عذر الله بها طائفة من المؤمنين لصدق رغبتهم في نصرة الدين وإن لم يباشروها في الظاهر.	9	﴿وَلَا عَلَى الَّذِينَ إِذَا مَا أَتَوْكَ لِتَحْمِلَهُمْ قُلْتَ لَا أَجِدُ مَا أَحْمِلُكُمْ عَلَيْهِ تَوَلَّوا وَّأَعْيُنُهُمْ تَفِيضُ مِنَ الدَّمْعِ حَزَنًا أَلَّا يَجِدُوا مَا يُنفِقُونَ﴾ [التوبة:92].	92		
هناك صفات يمكن أن تكون كمالاً، ويمكن أن تكون نقصاً، على حسب الحال التي تُذكر فيها. فهذه لا يوصف الله تعالى بها على سبيل الإطلاق، ولا تنفى عن الله تعالى على سبيل الإطلاق، بل يجب التفصيل، ففي الحال التي تكون كمالاً يوصف الله تعالى بها، وفي الحال التي تكون نقصاً لا يوصف الله تعالى بها. ومثال هذا: المكر، والخديعة، والاستهزاء، والسخرية. لذلك تجد أن الله تعالى يذكر ما يبدر من الكفار والمنافقين من مكر وخديعة واستهزاء وسخرية ثم يبين أنه يمكر بهم وهو خادعهم ويستهزئ بهم ويسخر منهم. لكن هناك أفعال وردت عن الكفار ولم يقابلها الله بنفس الكلمة لأنها نقصٌ لا كمال فيه. ما هو؟	8	{وَإِن يُرِيدُوا خِيَانَتَكَ فَقَدْ خَانُوا اللَّهَ مِن قَبْلُ فَأَمْكَنَ مِنْهُمْ ۗ وَاللَّهُ عَلِيمٌ حَكِيمٌ} [الأنفال : 71] ولم يقل: فخانهم، فالخيانة فلا يوصف الله بها أبداً، لأنها ذم بكل حال، إذ إنها مكر في موضع الائتمان، وهو مذموم. أما المكر والخديعة والاستهزاء بالعدو صفة كمال، لأن ذلك يدل على كمال العلم والقدرة والسلطان، ونحو ذلك. أما مكر الكفار بالمؤمنين الصادقين فهو صفة نقص. ولذلك لم يَرِد وصف الله تعالى بهذه الصفات على سبيل الإطلاق، وإنما ورد مقيداً بما يجعله كمالاً. تأمل هذه الآيات: أ. قال الله تعالى: ﴿إِنَّ الْمُنَافِقِينَ يُخَادِعُونَ اللَّهَ وَهُوَ خَادِعُهُمْ﴾ [النساء:142] فهذا خداع بالمنافقين. ب. وقال: ﴿وَإِذْ يَمْكُرُ بِكَ الَّذِينَ كَـفَرُوا لِيُثْبِتُوكَ أَوْ يَقْتُلُوكَ أَوْ يُخْرِجُوكَ ۚ وَيَمْكُرُونَ وَيَمْكُرُ اللَّهُ ۖ وَاللَّهُ خَيْرُ الْمَاكِرِينَ﴾ [الأنفال:30]. وهذا مكر بأعداء الله الذين كانوا يمكرون برسول الله ﷺ. ج. وقال في المنافقين: ﴿وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ ۝ اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ﴾ [البقرة:14-15] وهذا استهزاء بالمنافقين. د. ﴿الَّذِينَ يَلْمِزُونَ الْمُطَّوِّعِينَ مِنَ الْمُؤْمِنِينَ فِي الصَّدَقَاتِ وَالَّذِينَ لَا يَجِدُونَ إِلَّا جُهْدَهُمْ فَيَسْخَرُونَ مِنْهُمْ ۙ سَخِرَ اللَّهُ مِنْهُمْ وَلَهُمْ عَذَابٌ أَلِيمٌ﴾ [التوبة:79] وهذه سخرية بالمنافقين. (مستفاد من فتاوى ابن عثيمين).	71		
ما الآية التي فيها معنى هذا الحديث : ( تعس عبد الدينار ، وعبد الدرهم ، وعبد الخميصة ، إن أعطي رضي ، وإن لم يعط سخط ، تعس وانتكس ، وإذا شيك فلا انتقش ) ؟	8	﴿وَمِنْهُم مَّن يَلْمِزُكَ فِي الصَّدَقَاتِ #فَإِنْ أُعْطُوا مِنْهَا رَضُوا وَإِن لَّمْ يُعْطَوْا مِنْهَا إِذَا هُمْ يَسْخَطُونَ#﴾ [التوبة:58]	58		
قــــال الله تعــالى : ( ولو كنت فظا غليظ القلب لانفضوا من حولك ) [ آل عمران : 159 ] ، ومع ذلك أمر بالغلظة على أقوام . اذكر الآية	9	{يَا أَيُّهَا النَّبِيُّ جَاهِدِ الْكُفَّارَ وَالْمُنَافِقِينَ #وَاغْلُظْ عَلَيْهِمْ# ۚ وَمَأْوَاهُمْ جَهَنَّمُ ۖ وَبِئْسَ الْمَصِيرُ} [التوبة : 73 ]	73		
ذكرنا ( كما لم يؤمنوا به أول مرة ) [ الأنعام : 110 ] وخطورة الإعراض بعـد تبين الهدى ، اذكر آية تبين حرمان إنسـان من شـرف طاعة إذا لم يمتثل الأمر في أول مرة يكلف بها	9	{إِنَّكُمْ رَضِيتُم بِالْقُعُودِ أَوَّلَ مَرَّةٍ فَاقْعُدُوا مَعَ الْخَالِفِينَ} [التوبة : 83]	83		
