نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2	رقم آية 3
الإنسان ذو الفطرة السليمة و القلب السليم إذا رأى مَن هو خير منه في الدين و الخلق فإن ذلك يسره و يتمنى لو كان مثله . أما صاحب النفس الدنيئة فإنه يحب أن ينزل الآخرون إلى مستواه و يصبحوا مثله .بل و يسعى في ذلك .	4	{ٱلَّذِینَ یَبۡخَلُونَ وَیَأۡمُرُونَ ٱلنَّاسَ بِٱلۡبُخۡلِ وَیَكۡتُمُونَ مَاۤ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضۡلِهِۦۗ وَأَعۡتَدۡنَا لِلۡكَـٰفِرِینَ عَذَابࣰا مُّهِینࣰا }[سُورَةُ النِّسَاءِ: ٣٧ [ . {أَلَمۡ تَرَ إِلَى ٱلَّذِینَ أُوتُوا۟ نَصِیبࣰا مِّنَ ٱلۡكِتَـٰبِ یَشۡتَرُونَ ٱلضَّلَـٰلَةَ وَیُرِیدُونَ أَن تَضِلُّوا۟ ٱلسَّبِیلَ }[سُورَةُ النِّسَاءِ: ٤٤ [ . }وَدُّوا۟ لَوۡ تَكۡفُرُونَ كَمَا كَفَرُوا۟ فَتَكُونُونَ سَوَاۤءࣰۖ فَلَا تَتَّخِذُوا۟ مِنۡهُمۡ أَوۡلِیَاۤءَ حَتَّىٰ یُهَاجِرُوا۟ فِی سَبِیلِ ٱللَّهِۚ  }[سُورَةُ النِّسَاءِ: ٨٩ [	37	44	89
بعض الناس يعمل أعمالا من الخير ، لكن ليس بنية صالحة، أو لا يكون مؤمناً أصلاً . اذكر آية فيها صيغة تَعَجُّبٍ من حال من فوتوا على أنفسهم فرصة أجر أعمالهم مع أنهم عملوها .	4	{ وَمَاذَا عَلَیۡهِمۡ لَوۡ ءَامَنُوا۟ بِٱللَّهِ وَٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَأَنفَقُوا۟ مِمَّا رَزَقَهُمُ ٱللَّهُۚ وَكَانَ ٱللَّهُ بِهِمۡ عَلِیمًا }[سُورَةُ النِّسَاءِ: ٣٩]. و الآية قبلها { وَٱلَّذِینَ یُنفِقُونَ أَمۡوَ ٰ⁠لَهُمۡ رِئَاۤءَ ٱلنَّاسِ وَلَا یُؤۡمِنُونَ بِٱللَّهِ وَلَا بِٱلۡیَوۡمِ ٱلۡـَٔاخِرِۗ وَمَن یَكُنِ ٱلشَّیۡطَـٰنُ لَهُۥ قَرِینࣰا فَسَاۤءَ قَرِینࣰا }[سُورَةُ النِّسَاءِ: ٣٨]	39		
الأصل هو إحسان الظن بالمسلمين ، لكن عندما يتضح أن ممن ينتسبون إلى الإسلام مَن يلتبسون بصفات النفاق ، فلا ينبغي إحسان الظن بهم . بل قد عاتب الله تبارك و تعالى من لان في شأنهم . اذكر الآية التي وقعت فيها هذه المعاتبة. 	4	{ ۞ فَمَا لَكُمۡ فِی ٱلۡمُنَـٰفِقِینَ فِئَتَیۡنِ وَٱللَّهُ أَرۡكَسَهُم بِمَا كَسَبُوۤا۟ۚ أَتُرِیدُونَ أَن تَهۡدُوا۟ مَنۡ أَضَلَّ ٱللَّهُۖ وَمَن یُضۡلِلِ ٱللَّهُ فَلَن تَجِدَ لَهُۥ سَبِیلࣰا }[سُورَةُ النِّسَاءِ: ٨٨]	88		
فعلُ أمرٍ استدل به المفسرون على أن الإيمان درجات و أنه يزيد و ينقص . اذكر هذا الفعل .	4	{یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوۤا۟ ءَامِنُوا۟ بِٱللَّهِ وَرَسُولِهِۦ وَٱلۡكِتَـٰبِ ٱلَّذِی نَزَّلَ عَلَىٰ رَسُولِهِۦ وَٱلۡكِتَـٰبِ ٱلَّذِیۤ أَنزَلَ مِن قَبۡلُۚ وَمَن یَكۡفُرۡ بِٱللَّهِ وَمَلَـٰۤىِٕكَتِهِۦ وَكُتُبِهِۦ وَرُسُلِهِۦ وَٱلۡیَوۡمِ ٱلۡـَٔاخِرِ فَقَدۡ ضَلَّ ضَلَـٰلَۢا بَعِیدًا }[سُورَةُ النِّسَاءِ: ١٣٦ [	136		
آية من هذا الجزء تذكر بها صاحبات النزعة النِّسوية،  بأن تعرف كل واحدة دورها و حقها كأنثى،  فالله سبحانه حدد الحقوق و الواجبات بحكمته و علمه .	4	{ وَلَا تَتَمَنَّوۡا۟ مَا فَضَّلَ ٱللَّهُ بِهِۦ بَعۡضَكُمۡ عَلَىٰ بَعۡضࣲۚ لِّلرِّجَالِ نَصِیبࣱ مِّمَّا ٱكۡتَسَبُوا۟ۖ وَلِلنِّسَاۤءِ نَصِیبࣱ مِّمَّا ٱكۡتَسَبۡنَۚ وَسۡـَٔلُوا۟ ٱللَّهَ مِن فَضۡلِهِۦۤۚ إِنَّ ٱللَّهَ كَانَ بِكُلِّ شَیۡءٍ عَلِیمࣰا }[سُورَةُ النِّسَاءِ: ٣٢]	32		
قد يعصي أحدنا ثم لا يرى أثر معصيته في بدنه و ماله فيظن أنْ لا عقوبة ... و لكن هناك خمس كلمات من جزء اليوم تبين أن كل صاحب ذنبٍ سيناله جزاء ذنبه في العاجل أو في الآجل.  	4	{لَّیۡسَ بِأَمَانِیِّكُمۡ وَلَاۤ أَمَانِیِّ أَهۡلِ ٱلۡكِتَـٰبِۗ مَن یَعۡمَلۡ سُوۤءࣰا یُجۡزَ بِهِۦ وَلَا یَجِدۡ لَهُۥ مِن دُونِ ٱللَّهِ وَلِیࣰّا وَلَا نَصِیرࣰا }[سُورَةُ النِّسَاءِ: ١٢٣ [	123		
بعض الناس يرى ما يتعرض له المضحون في سبيل الله،  فبدلاً من أن يفكر في نصرتهم بكل ما يستطيع ، يطمئن و يُسَر لعدم حصول الأذى له كما حصل لإخوانه.  و يكرّس الإعلام ذلك بتجبين المسلمين و تخذيلهم عن نصرة إخوانهم حتى لا يحل بهم مثلما حلَّ بإخوانهم هؤلاء . اذكر آية من جزء اليوم ينبغي أن توقظ مَن هذا حاله.	4	{ وَإِنَّ مِنكُمۡ لَمَن لَّیُبَطِّئَنَّ فَإِنۡ أَصَـٰبَتۡكُم مُّصِیبَةࣱ قَالَ قَدۡ أَنۡعَمَ ٱللَّهُ عَلَیَّ إِذۡ لَمۡ أَكُن مَّعَهُمۡ شَهِیدࣰا }[سُورَةُ النِّسَاءِ: ٧٢]	72		
من أعظم التفسير أن تفسر آيةٌ من القرآن آيةً أخرى ، كتفسير قوله تعالى { ٱلَّذِینَ ءَامَنُوا۟ وَلَمۡ یَلۡبِسُوۤا۟ إِیمَـٰنَهُم بِظُلۡمٍ  }[سُورَةُ الأَنۡعَامِ: ٨٢] بقوله تعالى { إِنَّ ٱلشِّرۡكَ لَظُلۡمٌ عَظِیمࣱ }[سُورَةُ لُقۡمَانَ: ١٣] ( النبي هو من وضح ذلك ردَّاً على سؤال الصحابة ). اذكر آية من جزء اليوم وضحت مَن هم الأقوام المقصودون في آية من أول جزء من أجزاء القرآن .	4	{ وَمَن یُطِعِ ٱللَّهَ وَٱلرَّسُولَ فَأُو۟لَـٰۤىِٕكَ مَعَ ٱلَّذِینَ أَنۡعَمَ ٱللَّهُ عَلَیۡهِم مِّنَ ٱلنَّبِیِّـۧنَ وَٱلصِّدِّیقِینَ وَٱلشُّهَدَاۤءِ وَٱلصَّـٰلِحِینَۚ وَحَسُنَ أُو۟لَـٰۤىِٕكَ رَفِیقࣰا }[سُورَةُ النِّسَاءِ: ٦٩]	69		
وَصَف الله عز وجل المنافقين بأنهم يبتغون العزة و العلو عند الكافرين كما قال تعالى { ٱلَّذِینَ یَتَّخِذُونَ ٱلۡكَـٰفِرِینَ أَوۡلِیَاۤءَ مِن دُونِ ٱلۡمُؤۡمِنِینَۚ أَیَبۡتَغُونَ عِندَهُمُ ٱلۡعِزَّةَ فَإِنَّ ٱلۡعِزَّةَ لِلَّهِ جَمِیعࣰا }[سُورَةُ النِّسَاءِ: ١٣٩]. ذكر جزءاً من آية يبيّن أن ذلك سيؤدي إلى جعلهم في مكانة في الآخرة على النقيض مما طلبوا تماماً.	4	} إِنَّ ٱلۡمُنَـٰفِقِینَ فِی ٱلدَّرۡكِ ٱلۡأَسۡفَلِ مِنَ ٱلنَّارِ وَلَن تَجِدَ لَهُمۡ نَصِیرًا }[سُورَةُ النِّسَاءِ: ١٤٥ [	145		
البعض قد يتستر على موظف اختلس من صاحب عملٍ أو خَان أمانته بمقدار لا يضر أصحاب العمل في نظره ، و يرى في ذلك رحمة بهذا الموظف ، و لكن الله لم يُسَمِّ ذلك رحمةً، بل أعطاه الاسم المناسب و نهى عنه . اذكر آية تدل على هذا المعنى. 	4	{یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوا۟ كُونُوا۟ قَوَّ ٰ⁠مِینَ بِٱلۡقِسۡطِ شُهَدَاۤءَ لِلَّهِ وَلَوۡ عَلَىٰۤ أَنفُسِكُمۡ أَوِ ٱلۡوَ ٰ⁠لِدَیۡنِ وَٱلۡأَقۡرَبِینَۚ إِن یَكُنۡ غَنِیًّا أَوۡ فَقِیرࣰا فَٱللَّهُ أَوۡلَىٰ بِهِمَاۖ فَلَا تَتَّبِعُوا۟ ٱلۡهَوَىٰۤ أَن تَعۡدِلُوا۟ۚ وَإِن تَلۡوُۥۤا۟ أَوۡ تُعۡرِضُوا۟ فَإِنَّ ٱللَّهَ كَانَ بِمَا تَعۡمَلُونَ خَبِیرࣰا }[سُورَةُ النِّسَاءِ: ١٣٥ [	135		
آية من سورة الحديد فسَّرت آية من الجزء الخامس التي فسرها قول الله تعالى : { قِیلَ ٱرۡجِعُوا۟ وَرَاۤءَكُمۡ فَٱلۡتَمِسُوا۟ نُورࣰاۖ فَضُرِبَ بَیۡنَهُم بِسُورࣲ لَّهُۥ بَابُۢ بَاطِنُهُۥ فِیهِ ٱلرَّحۡمَةُ وَظَـٰهِرُهُۥ مِن قِبَلِهِ ٱلۡعَذَابُ }[سُورَةُ الحَدِيدِ: ١٣] ؟	4	{ إِنَّ ٱلۡمُنَـٰفِقِینَ یُخَـٰدِعُونَ ٱللَّهَ وَهُوَ خَـٰدِعُهُمۡ  }[سُورَةُ النِّسَاءِ: ١٤٢]	142		
