نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2	رقم آية 3
كلمتان وردتا في آية كانتا بمثابة شهادة من الله على صدق الصحابة رضـوان الله عليهم . ما هما ؟	9	{وَمِنْهُمُ الَّذِينَ يُؤْذُونَ النَّبِيَّ وَيَقُولُونَ هُوَ أُذُنٌ ۚ قُلْ أُذُنُ خَيْرٍ لَّكُمْ يُؤْمِنُ بِاللَّهِ وَيُؤْمِنُ لِلْمُؤْمِنِينَ وَرَحْمَةٌ لِّلَّذِينَ آمَنُوا مِنكُمْ ۚ وَالَّذِينَ يُؤْذُونَ رَسُولَ اللَّهِ لَهُمْ عَذَابٌ أَلِيمٌ} [التوبة : 61 [	61		
من أفضـل الطرق لمواجهة كلمات التهكم هو أن تسـتـخـدمهـا ذاتها وتغير مسارها ، فكما قد تستخدم الكلمة للذم والقدح ، فإنه يمكن استخدامها في سياق آخر للمدح ورفع شأن صاحبها . هناك كلمة وردت مرتين في آية واحدة فجاءت مرة في سياق السخرية ثم أصبحت في سياق المدح والرفعة ، ما هي هذه الكلمة ؟	9	{وَمِنْهُمُ الَّذِينَ يُؤْذُونَ النَّبِيَّ وَيَقُولُونَ هُوَ أُذُنٌ ۚ قُلْ أُذُنُ خَيْرٍ لَّكُمْ يُؤْمِنُ بِاللَّهِ وَيُؤْمِنُ لِلْمُؤْمِنِينَ وَرَحْمَةٌ لِّلَّذِينَ آمَنُوا مِنكُمْ ۚ وَالَّذِينَ يُؤْذُونَ رَسُولَ اللَّهِ لَهُمْ عَذَابٌ أَلِيمٌ} [التوبة:61 [	61		
من كمال علم الله تعالى أنه يعلم ما كان وما يكون وما سيكون وما لم يكن لو كان كيف كان يكون . هناك آية يؤدي سوء فهمها إلى ظن أن الله تعالى يستجد له من تغير أحوال الناس علم لم يكن يعلمه من قبل ، اذكر الكلمات الأربعة التي قد تفهم هكذا .	8	{الْآنَ خَفَّفَ اللَّهُ عَنكُمْ وَعَلِمَ أَنَّ فِيكُمْ ضَعْفًا ۚ فَإِن يَكُن مِّنكُم مِّائَةٌ صَابِرَةٌ يَغْلِبُوا مِائَتَيْنِ ۚ وَإِن يَكُن مِّنكُمْ أَلْفٌ يَغْلِبُوا أَلْفَيْنِ بِإِذْنِ اللَّهِ ۗ وَاللَّهُ مَعَ الصَّابِرِينَ} [الأنفال : 66 [	66		
 أعظم النعيم في الجنة هو النعيم الروحي بتحصيل مرضاة الله تعالى . اذكر أربع كلمات تدل على هذا المعنى .	9	{وَعَدَ اللَّهُ الْمُؤْمِنِينَ وَالْمُؤْمِنَاتِ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا وَمَسَاكِنَ طَيِّبَةً فِي جَنَّاتِ عَدْنٍ ۚ وَرِضْوَانٌ مِّنَ اللَّهِ أَكْبَرُ ۚ ذَٰلِكَ هُوَ الْفَوْزُ الْعَظِيمُ} [التوبة:7 [	7		
نفرح بهلاك المجرمين الذين لطالموا حاربوا الدين لكن يحزننا أن يكون هلاكهم على يدي من ليس خيرا منهم فالمسلم لا ينتظر غيره من البشر ليشفي غليله . اذكرآية فيها هذا المعنى .	9	{قُلْ هَلْ تَرَبَّصُونَ بِنَا إِلَّا إِحْدَى الْحُسْنَيَيْنِ ۖ وَنَحْنُ نَتَرَبَّصُ بِكُمْ أَن يُصِيبَكُمُ اللَّهُ بِعَذَابٍ مِّنْ عِندِهِ أَوْ بِأَيْدِينَا ۖ فَتَرَبَّصُوا إِنَّا مَعَكُم مُّتَرَبِّصُونَ} [التوبة : 52 [	52		
عندما يقاتل المؤمن فإنما يقاتل لنصـر دين الله ودفع أعدائه وإعزاز الإسـلام ، وليس لتوسعة ملك أو زيادة سلطان أو لطلب مغنم ومال ، فعلى هذا الأساس تبنى قرارات المؤمن في الحرب أو السلم وما يترتب على أي منهما . اذكر آية تشير إلى هذا المعنى .	8	{مَا كَانَ لِنَبِيٍّ أَن يَكُونَ لَهُ أَسْرَىٰ حَتَّىٰ يُثْخِنَ فِي الْأَرْضِ ۚ تُرِيدُونَ عَرَضَ الدُّنْيَا وَاللَّهُ يُرِيدُ الْآخِرَةَ ۗ وَاللَّهُ عَزِيزٌ حَكِيمٌ} [الأنفال : 67]	67		
إذا عجز المؤمن عن بلوغ ذروة خيرما ، فليجتهد في تحصيل ما يمكن تحصيله منه ، وإن لم يقدر على أداء واجب ما ، فلعله يقدر على شيء منه أو مساعدة من يؤدونه . اذكر آية فيها مثال على هذا المعنى .	9	{لَّيْسَ عَلَى الضُّعَفَاءِ وَلَا عَلَى الْمَرْضَىٰ وَلَا عَلَى الَّذِينَ لَا يَجِدُونَ مَا يُنفِقُونَ حَرَجٌ إِذَا نَصَحُوا لِلَّهِ وَرَسُولِهِ ۚ مَا عَلَى الْمُحْسِنِينَ مِن سَبِيلٍ ۚ وَاللَّهُ غَفُورٌ رَّحِيمٌ} [التوبة : 91 [	91		
اذكر آية عذر الله بها طائفة من المؤمنين لصـدق رغبتهم في نصرة الدين وإن لم يباشروها في الظاهر .	9	{وَلَا عَلَى الَّذِينَ إِذَا مَا أَتَوْكَ لِتَحْمِلَهُمْ قُلْتَ لَا أَجِدُ مَا أَحْمِلُكُمْ عَلَيْهِ تَوَلَّوا وَّأَعْيُنُهُمْ تَفِيضُ مِنَ الدَّمْعِ حَزَنًا أَلَّا يَجِدُوا مَا يُنفِقُونَ} [التوبة : 92]	92		
هناك صفات يمكن أن تكون كمالاً ، ويمكن أن تكون نقصاً ، على حسب الحال التي تذكر فيها . فهذه لا يوصف الله تعالى بها على سبيل الإطلاق ، ولا تنفى عن الله تعالى على سبيل الإطلاق ، بل يجب التفصيل ، ففي الحال التي تكون كمالاً يوصـف الله تعالى بها ، وفي الحال التي تكون نقصـاً لا يوصـف الله تعالى بها . ومثال هذا : المكر ، والخديعة ، والاستهزاء ، والسخرية ، لذلك تجد أن الله تعالى يذكر ما يبدر من الكفار والمنافقين من مكر وخديعة واستهزاء وسخرية ثم يبين أنه يمكر بهم وهو خادعهم ويستهزئ بهم ويسخر منهم . لكن هناك أفعال وردت عن الكفار ولم يقابلها الله بنفس الكلمة لأنها نقص لا كمال فيه ، ما هو ؟	8	{وَإِن يُرِيدُوا خِيَانَتَكَ فَقَدْ خَانُوا اللَّهَ مِن قَبْلُ فَأَمْكَنَ مِنْهُمْ ۗ وَاللَّهُ عَلِيمٌ حَكِيمٌ} [الأنفال : 71]	71		
ما الآية التي فيها معنى هذا الحديث : ( تيس عبد الدينار ، وعبد الدرهم ، وعبد الخميصة ، إن أعطي رضي ، وإن لم يعط سخط ، تعس وانتكس ، وإذا شيك فلا انتقش ) ؟	9	{وَمِنْهُم مَّن يَلْمِزُكَ فِي الصَّدَقَاتِ فَإِنْ أُعْطُوا مِنْهَا رَضُوا وَإِن لَّمْ يُعْطَوْا مِنْهَا إِذَا هُمْ يَسْخَطُونَ} [التوبة : 58 [	58		
قــــال الله تعــالى : ( ولو كنت فظا غليظ القلب لانفضوا من حولك ) [ آل عمران : 159 ] ، ومع ذلك أمر بالغلظة على أقوام . اذكر الآية	9	{يَا أَيُّهَا النَّبِيُّ جَاهِدِ الْكُفَّارَ وَالْمُنَافِقِينَ وَاغْلُظْ عَلَيْهِمْ ۚ وَمَأْوَاهُمْ جَهَنَّمُ ۖ وَبِئْسَ الْمَصِيرُ} [التوبة : 73 [	73		
ذكرنا ( كما لم يؤمنوا به أول مرة ) [ الأنعام : 110 ] وخطورة الإعراض بعـد تبين الهدى ، اذكر آية تبين حرمان إنسـان من شـرف طاعة إذا لم يمتثل الأمر في أول مرة يكلف بها	9	{إِنَّكُمْ رَضِيتُم بِالْقُعُودِ أَوَّلَ مَرَّةٍ فَاقْعُدُوا مَعَ الْخَالِفِينَ} [التوبة : 83]	83		
 قيل : إذا أردت أن تعرف عند الله مقامك فانظر فيما أقامك . وقال ابن القيم : من أراد من العمال أن يعرف قدره عند السلطان فلينظر ماذا يوليه من العمل وبأي شيء يشـغله ، اذكر آية تبين أن من هان على الله فإن الله تعالى لا يوفقه للطاعات العظيمة	9	{وَلَوْ أَرَادُوا الْخُرُوجَ لَأَعَدُّوا لَهُ عُدَّةً وَلَٰكِن كَرِهَ اللَّهُ انبِعَاثَهُمْ فَثَبَّطَهُمْ وَقِيلَ اقْعُدُوا مَعَ الْقَاعِدِينَ} [التوبة : 46]	46		
اذكر آية ترد بها على من يجعل مقياس المفاضلة بين الناس على أسـاس " الإنسانية " ويهون من شأن التوحيد في ذلك.	9	{ أَجَعَلْتُمْ سِقَايَةَ الْحَاجِّ وَعِمَارَةَ الْمَسْجِدِ الْحَرَامِ كَمَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَجَاهَدَ فِي سَبِيلِ اللَّهِ ۚ لَا يَسْتَوُونَ عِندَ اللَّهِ ۗ وَاللَّهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ} [التوبة : 19]	19		
